Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,13.0
2019,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,947.0
2020,FYTD,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,25.0
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3.0
2019,FYTD,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,4110.0
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,215.0
2020,FYTD,APR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,16.0
2020,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,54.0
2019,FYTD,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,14332.0
2021,FYTD,MAY,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2245.0
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11.0
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,36136.0
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,65.0
2021,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1997.0
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,33.0
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,3.0
2020,FYTD,MAY,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,631.0
2019,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,213.0
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1.0
2020,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,73.0
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,8129.0
